Network Type,Band,Num_Carriers,SINR,RB,TH_CWD0,TH_CWD1,ANT,TRANS,RANK,BLER,CQI_CWD0,CQI_CWD1,MCS_CWD0,MCS_CWD1
CX,U,4,12.7,100,4.71,3.11,2x2,4,2,17.8,7,5,16QAM,16QAM
CX,U,4,12.5,100,50.09,1.5,2x2,4,2,13.6,9,0,,
CX,U,4,12.1,100,48.54,0,2x2,4,1,10.6,10,0,,
CX,L,4,9.9,14,8.02,8.79,4x4,4,2,8.2,9,10,256QAM,256QAM
CX,U,4,13.3,100,32.77,34.31,2x2,4,2,0,7,6,16QAM,16QAM
CX,U,4,12.8,100,37.29,11.62,2x2,4,2,12.4,8,3,,
CX,U,4,11.9,100,42.92,3.82,2x2,4,1,10.4,9,1,,
CX,L,4,10.1,14,8.35,9.12,4x4,4,2,10.4,9,9,256QAM,256QAM
CX,U,4,19.4,0,,,,,,0,10,7,,
CX,U,4,13.3,100,32.03,15.44,2x2,4,2,11.4,7,4,,
CX,U,4,12.2,100,50.62,0,2x2,4,1,10,11,0,,
CX,L,4,11.1,15,8.75,10.02,4x4,4,2,9,9,9,256QAM,256QAM
CX,U,4,10.4,0,,,,,,0,7,5,,
CX,U,4,11.9,100,31.36,15.25,2x2,4,2,11.7,6,4,,
CX,U,4,11.4,100,40.37,1.84,2x2,4,1,11.6,9,0,,
CX,L,4,11.3,15,8.8,9.21,4x4,4,2,9.3,9,10,256QAM,256QAM
CX,U,4,7.3,0,,,,,,0,6,6,,
CX,U,4,12.9,100,33.73,6.05,2x2,4,1,11.9,6,3,,
CX,U,4,11.1,100,11.51,0.39,2x2,4,2,14.8,9,1,,
CX,L,4,9.5,14,7.9,8.41,4x4,4,2,9.2,8,9,256QAM,256QAM
CX,U,4,1.7,0,,,,,,0,5,1,,
CX,U,4,9.6,100,28.87,10.78,2x2,4,2,10.6,6,3,,
CX,U,4,9.4,100,5.25,1.34,2x2,4,1,20.2,7,0,,
CX,L,4,7.9,33,16,18.06,4x4,4,2,9,8,8,256QAM,256QAM
CX,U,4,6.1,0,,,,,,0,5,1,,
CX,U,4,10.8,100,26.59,13.91,2x2,4,2,10,5,3,,
CX,U,4,11,100,9.4,0,2x2,4,1,21.2,7,0,,
CX,L,4,9.6,62,23.49,35.05,4x4,4,,10.3,8,9,64QAM,64QAM
CX,U,4,5.3,0,,,,,,0,4,3,,
CX,U,4,9.5,100,21.75,17.36,2x2,4,2,11.6,5,3,,
CX,U,4,9.5,100,5.38,0.29,2x2,4,2,11.7,7,3,,
CX,L,4,8.9,73,24,42.29,4x4,4,,9.2,7,8,64QAM,64QAM
CX,U,4,14.3,0,,,,,,0,5,4,,
CX,U,4,9.2,100,19.65,18.61,2x2,4,2,11.3,4,4,,
CX,U,4,9.5,100,3.1,0.58,2x2,4,2,5.7,7,0,,
CX,L,4,10.2,73,24.44,44.58,4x4,4,,9.9,7,8,64QAM,64QAM
CX,U,4,7.7,0,,,,,,0,7,4,,
CX,U,4,3.6,100,23.24,11.29,2x2,4,2,10.4,5,3,,
CX,U,4,9.5,100,3,1.46,2x2,4,2,4.7,5,3,,
CX,L,4,10.8,40,20.7,24.04,4x4,4,2,8.5,10,10,256QAM,256QAM
CX,U,4,9.5,0,,,,,,0,6,4,,
CX,U,4,11.6,100,25.5,14.18,2x2,4,2,10.7,5,4,,
CX,U,4,10.9,100,13.21,2.22,2x2,4,2,6.2,8,2,,
CX,L,4,9.9,15,9.02,9.45,4x4,4,2,8.1,9,9,256QAM,256QAM
CX,U,4,10.8,0,,,,,,0,5,3,,
CX,U,4,10.8,100,24.58,12.81,2x2,4,2,10.3,5,3,,
CX,U,4,10.5,100,7.81,2.5,2x2,4,2,4.1,7,3,,
CX,L,4,10.6,14,8.34,9.36,4x4,4,2,9.9,8,8,256QAM,256QAM
CX,U,4,8.1,0,,,,,,0,7,3,,
CX,U,4,9.9,100,17.82,17.44,2x2,4,2,10.1,4,5,,
CX,U,4,9.5,100,6.21,2.3,2x2,4,2,5.1,8,3,,
CX,L,4,11.5,13,8.57,8.86,4x4,4,,9.6,10,9,256QAM,256QAM
CX,U,4,9.6,0,,,,,,0,9,6,,
CX,U,4,9.3,100,14.53,22.17,2x2,4,2,10.8,4,5,,
CX,U,4,9.8,100,4.81,3.71,2x2,4,1,11.4,6,4,,
CX,L,4,11.1,20,11.39,14.55,4x4,4,2,9.1,8,9,256QAM,256QAM
CX,U,4,10,0,,,,,,0,10,7,,
CX,U,4,8.2,100,21.18,18.12,2x2,4,2,10.9,4,4,,
CX,U,4,10.4,100,4.07,2.04,2x2,4,2,4,5,3,,
CX,L,4,8.9,21,11.94,13.57,4x4,4,,9.1,9,9,256QAM,256QAM
CX,U,4,10.3,0,,,,,,0,4,0,,
CX,U,4,10.6,100,19.84,12.51,2x2,4,2,11.9,5,3,,
CX,U,4,10.6,0,,,,,,0,5,2,,
CX,L,4,11.4,20,8.68,15.89,4x4,4,,9.5,9,9,64QAM,256QAM
CX,U,4,6.3,0,,,,,,0,10,7,,
CX,U,4,9.8,100,25.39,13.47,2x2,4,2,11.4,6,3,,
CX,U,4,10.7,0,,,,,,0,8,3,,
CX,L,4,12.3,21,9.81,15.04,4x4,4,,8.8,8,9,256QAM,256QAM
CX,U,4,11.8,0,,,,,,0,7,6,,
CX,U,4,10.2,100,25.26,13.75,2x2,4,2,10.1,6,4,,
CX,L,4,13.8,27,14.4,18.27,4x4,4,,9.8,10,10,256QAM,256QAM
CX,U,4,8.9,0,,,,,,0,8,2,,
CX,U,4,13.5,100,16.26,16.12,2x2,4,2,10.2,5,5,,
CX,L,4,11.2,73,35.98,30.19,4x4,4,2,8.4,9,8,64QAM,64QAM
CX,U,4,10.3,100,18.92,15.49,2x2,4,2,10.5,6,5,,
CX,L,4,10.8,73,36.84,33.89,4x4,4,2,9.5,9,9,256QAM,64QAM
CX,U,4,10.7,100,20.54,16.95,2x2,4,2,10,5,4,,
CX,U,4,9.2,100,14.06,0.77,2x2,4,1,6,9,1,,
CX,L,4,12.8,73,35.03,29.19,4x4,4,2,9.8,9,9,64QAM,64QAM
CX,U,4,10.6,100,19.71,13.44,2x2,4,1,11,6,3,,
CX,U,4,9.5,100,13.48,0.06,2x2,4,1,3.8,10,0,,
CX,L,4,12.7,73,35.25,33.5,4x4,4,2,8.6,9,9,64QAM,64QAM
CX,U,4,5.4,0,,,,,,0,8,2,,
CX,U,4,11.6,100,20.91,15.73,2x2,4,2,10.5,5,3,,
CX,U,4,9.2,100,15.17,0.53,2x2,4,1,4.7,9,0,,
CX,L,4,11,73,32.14,34.28,4x4,4,2,9.2,9,9,64QAM,256QAM
CX,U,4,6.6,0,,,,,,0,8,2,,
CX,U,4,10,100,21.69,11.42,2x2,4,1,9,5,3,,
